index,name,brand,price,number_of_comment,weight(g),Negative,Positive,rank_point
0,Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Nhập Khẩu ,Kindle,2890000.0,290.0,286.4,0.2701396266067391,0.7298603733932607,211.65950828404561
1,Máy đọc sách Kindle PaperWhite Gen 4 (10th) - Bản 8GB - Hàng chính hãng ,Kindle,2890000.0,496.0,182.0,0.3208372375319894,0.6791627624680071,336.86473018413153
2,Máy Đọc Sách All New Kindle 2019 (10th) – Hàng Chính Hãng ,Kindle,2099000.0,122.0,160.0,0.2955464679528296,0.7044535320471715,85.94333090975493
3,Máy đọc sách Kindle PaperWhite gen 4 (10th) - Bản 32 GB - Hàng chính hãng ,Kindle,3550000.0,105.0,182.0,0.3730508725063122,0.6269491274936881,65.82965838683725
4,Máy đọc sách All New Kindle Bản đặc biệt 8GB - Hàng nhập khẩu ,Amazon,1990000.0,15.0,174.0,0.2837185603259543,0.7162814396740458,10.744221595110687
5,Combo Máy Đọc Sách Kindle Paperwhite 4 Gen 10 (8GB - Màu Đen - Hàng nhập khẩu) và Bao Da WELL BEGUN ,Kindle,3030000.0,13.0,350.0,0.21284290909042874,0.7871570909095709,10.233042181824421
6,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu ,Kindle,6788000.0,18.0,191.0,0.24103562237426984,0.7589643776257303,13.661358797263146
7,Máy tính bảng Kindle Fire HD8 Model 2020 - 32GB - Hàng nhập khẩu ,Amazon,2099000.0,10.0,355.0,0.17624306222464975,0.8237569377753499,8.237569377753498
8,Máy đọc sách Kindle Oasis 3 - Bản Mỹ - Hàng nhập khẩu ,Amazon,5900000.0,3.0,234.6,0.11964427701303733,0.8803557229869626,2.641067168960888
9,Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Mỹ ,Kindle,2850000.0,20.0,286.4,0.3300295143526317,0.6699704856473683,13.399409712947365
10,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu Ghi Xám - Hàng Chính Hãng ,Kindle,3030000.0,15.0,286.4,0.315925205542105,0.6840747944578952,10.261121916868428
11,Máy đọc sách Amazon Kindle Oasis 2 - dung lượng 32gb - Chính hãng Amazon - Hàng nhập khẩu ,Kindle,5650000.0,11.0,234.6,0.26556111154673445,0.7344388884532654,8.07882777298592
12,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu vàng - Hàng Chính Hãng ,Kindle,3030000.0,6.0,286.4,0.2012436623166708,0.7987563376833292,4.792538026099975
14,Máy tính bảng Kindle Fire HD8 Plus 2020 - Ram 3Gb - 32Gb - Hàng nhập khẩu ,Amazon,2599000.0,3.0,355.0,0.11964427701303733,0.8803557229869626,2.641067168960888
15,Máy đọc sách Amazon Kindle Paperwhite 4 Gen 10 (2019) - Hàng nhập khẩu ,Kindle,2989000.0,12.0,286.4,0.26113517594684443,0.7388648240531555,8.866377888637865
17,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu Đỏ Đô - Hàng Chính Hãng ,Kindle,3030000.0,9.0,286.4,0.1930236278667853,0.8069763721332146,7.262787349198931
18,Máy Đọc Sách Kindle Gen 10 - 2019 (4GB) - Hàng Nhập Khẩu ,Kindle,2099000.0,21.0,281.4,0.2244211336155825,0.7755788663844175,16.287156194072768
19,Máy Đọc Sách Boox Nova 2 - Hàng Chính Hãng ,Onyx Boox,8790000.0,2.0,270.2,0.24750972319195344,0.7524902768080466,1.5049805536160932
20,Máy Đọc Sách Likebook Mars - Hàng chính hãng ,Likebook,4990000.0,3.0,252.0,0.18543201916480687,0.814567980835193,2.443703942505579
22,Máy Đọc Sách Likebook Ares - Hàng chính hãng ,Likebook,7490000.0,2.0,268.0,0.12010229864182034,0.8798977013581797,1.7597954027163594
23,Máy Đọc Sách Kindle PaperWhite Gen 10 - 2019 (32GB) - Hàng Nhập Khẩu ,Kindle,3850000.0,3.0,286.4,0.3607774327670344,0.6392225672329656,1.9176677016988966
24,Máy Tính Bảng Kindle Fire HD8 (8th) 16GB (2019) - Hàng Chính Hãng ,Kindle,2249000.0,165.0,363.0,0.2970973892483938,0.7029026107516065,115.97893077401508
29,Máy Đọc Sách Boox Note Plus (Note+) - Hàng Nhập Khẩu ,BOOX,11490000.0,1.0,360.0,0.2280091688871709,0.7719908311128291,0.7719908311128291
31,Máy đọc sách Onyx Boox Note 2 - HÀNG CHÍNH HÃNG ,Onyx Boox,13590000.0,1.0,270.2,0.5505371526932096,0.44946284730679054,0.44946284730679054
32,Máy Đọc Sách Likebook Muses - Hàng chính hãng ,Likebook,6590000.0,3.0,234.6,0.041300906706912506,0.9586990932930874,2.8760972798792626
