,index,name,brand,price,weight(g),rank_point,rank
0,0,Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Nhập Khẩu ,Kindle,2890000.0,286.4,212.05723859301986,9
1,1,Máy đọc sách Kindle PaperWhite Gen 4 (10th) - Bản 8GB - Hàng chính hãng ,Kindle,2890000.0,182.0,337.76686602857416,1
2,2,Máy Đọc Sách All New Kindle 2019 (10th) – Hàng Chính Hãng ,Kindle,2099000.0,160.0,86.1350431832204,2
3,3,Máy đọc sách Kindle PaperWhite gen 4 (10th) - Bản 32 GB - Hàng chính hãng ,Kindle,3550000.0,182.0,66.08851444540475,23
4,4,Máy đọc sách All New Kindle Bản đặc biệt 8GB - Hàng nhập khẩu ,Amazon,1990000.0,174.0,10.766614999466046,5
5,5,Combo Máy Đọc Sách Kindle Paperwhite 4 Gen 10 (8GB - Màu Đen - Hàng nhập khẩu) và Bao Da WELL BEGUN ,Kindle,3030000.0,350.0,10.242497405817844,4
6,6,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu ,Kindle,6788000.0,191.0,13.683732293858446,6
7,7,Máy tính bảng Kindle Fire HD8 Model 2020 - 32GB - Hàng nhập khẩu ,Amazon,2099000.0,355.0,8.241686507029218,3
8,8,Máy đọc sách Kindle Oasis 3 - Bản Mỹ - Hàng nhập khẩu ,Amazon,5900000.0,234.6,2.640579897237367,20
9,9,Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Mỹ ,Kindle,2850000.0,286.4,13.44295635691858,11
10,10,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu Ghi Xám - Hàng Chính Hãng ,Kindle,3030000.0,286.4,10.292588133487847,14
11,11,Máy đọc sách Amazon Kindle Oasis 2 - dung lượng 32gb - Chính hãng Amazon - Hàng nhập khẩu ,Kindle,5650000.0,234.6,8.09143685329709,8
12,12,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu vàng - Hàng Chính Hãng ,Kindle,3030000.0,286.4,4.796410099685828,10
13,14,Máy tính bảng Kindle Fire HD8 Plus 2020 - Ram 3Gb - 32Gb - Hàng nhập khẩu ,Amazon,2599000.0,355.0,2.640579897237367,12
14,15,Máy đọc sách Amazon Kindle Paperwhite 4 Gen 10 (2019) - Hàng nhập khẩu ,Kindle,2989000.0,286.4,8.885292575038498,16
15,17,Combo Máy Đọc Sách Kindle Paperwhite Gen 10th (8GB - Màu Đen) và Bao da WELL BEGUN Màu Đỏ Đô - Hàng Chính Hãng ,Kindle,3030000.0,286.4,7.26945271997412,18
16,18,Máy Đọc Sách Kindle Gen 10 - 2019 (4GB) - Hàng Nhập Khẩu ,Kindle,2099000.0,281.4,16.303825454532877,7
17,19,Máy Đọc Sách Boox Nova 2 - Hàng Chính Hãng ,Onyx Boox,8790000.0,270.2,1.507278430785995,13
18,20,Máy Đọc Sách Likebook Mars - Hàng chính hãng ,Likebook,4990000.0,252.0,2.4450888943530913,19
19,22,Máy Đọc Sách Likebook Ares - Hàng chính hãng ,Likebook,7490000.0,268.0,1.7593728534018878,15
20,23,Máy Đọc Sách Kindle PaperWhite Gen 10 - 2019 (32GB) - Hàng Nhập Khẩu ,Kindle,3850000.0,286.4,1.923930875974193,17
21,24,Máy Tính Bảng Kindle Fire HD8 (8th) 16GB (2019) - Hàng Chính Hãng ,Kindle,2249000.0,363.0,116.2481673986247,21
22,29,Máy Đọc Sách Boox Note Plus (Note+) - Hàng Nhập Khẩu ,BOOX,11490000.0,360.0,0.7728517315427614,22
23,31,Máy đọc sách Onyx Boox Note 2 - HÀNG CHÍNH HÃNG ,Onyx Boox,13590000.0,270.2,0.4539704834795963,25
24,32,Máy Đọc Sách Likebook Muses - Hàng chính hãng ,Likebook,6590000.0,234.6,2.8745241398840236,24
